Job Title, Company Name, Job Type
Human Resources Generalist, Melco-Mec Egypt for Elevators & Escalators - Mitsubishi -, Full Time
Human Resources Supervisor, Vision Cosmetics -, Full Time
Human Resources Generalist, ROC Citizenship  -, Full Time
Human Resources Generalist, Confidential -, Full Time
Human Resource Administrator, KB's Cake Studio -, Full Time
Human Resources Generalist, IETOS -, Full Time
Senior Human Resources Specialist, COLAS RAIL Egypt -, Full Time
Human Resources Generalist, A1Softech -, Full Time
Human Resource Advisor, Arab Group for Healthcare -, Part Time
Human Resources Generalist, BTC-Egypt Gold -, Full Time
Human Resources Generalist (Experience within the GCC), BTC-Egypt Gold -, Full Time
Human Resources Intern, Forward Contractors-Real Estate -, Internship
Human Resource Recruiter, Value’s Home -, Full Time
Human Resources Generalist, Alex international Company -, Full Time
Senior Human Resources Generalist, Arma Non Food -, Full Time
